mz,intensity,percent,DistributionLabel
537.66,1527,54.69,Br4Cl2
538.66,184,6.59,Br4Cl2
539.65,2792,100,Br4Cl2
540.66,338,12.11,Br4Cl2
541.65,2639,94.52,Br4Cl2
542.65,299,10.71,Br4Cl2
543.65,1291,46.24,Br4Cl2
544.65,157,5.62,Br4Cl2
545.65,315,11.28,Br4Cl2
546.65,45,1.61,Br4Cl2
547.64,32,1.15,Br4Cl2
548.65,2,0.07,Br4Cl2
569.62,251,9.69,Br4Cl3
570.62,33,1.27,Br4Cl3
571.62,1256,48.48,Br4Cl3
572.62,160,6.18,Br4Cl3
573.61,2483,95.83,Br4Cl3
574.62,326,12.58,Br4Cl3
575.61,2591,100,Br4Cl3
576.62,361,13.93,Br4Cl3
577.61,1587,61.25,Br4Cl3
578.61,202,7.8,Br4Cl3
579.61,547,21.11,Br4Cl3
580.61,79,3.05,Br4Cl3
581.61,99,3.82,Br4Cl3
582.61,14,0.54,Br4Cl3
583.6,10,0.39,Br4Cl3
584.61,1,0.04,Br4Cl3
603.58,175,6.76,Br4Cl4
604.58,33,1.28,Br4Cl4
605.58,961,37.15,Br4Cl4
606.58,148,5.72,Br4Cl4
607.58,2161,83.53,Br4Cl4
608.58,283,10.94,Br4Cl4
609.57,2587,100,Br4Cl4
610.58,341,13.18,Br4Cl4
611.57,1848,71.43,Br4Cl4
612.57,228,8.81,Br4Cl4
613.57,850,32.86,Br4Cl4
614.57,93,3.59,Br4Cl4
615.57,219,8.47,Br4Cl4
616.57,27,1.04,Br4Cl4
617.56,39,1.51,Br4Cl4
618.57,4,0.15,Br4Cl4
619.56,2,0.08,Br4Cl4
620.56,1,0.04,Br4Cl4
637.54,159,6.2,Br4Cl5
638.54,15,0.58,Br4Cl5
639.54,742,28.92,Br4Cl5
640.54,104,4.05,Br4Cl5
641.54,1896,73.89,Br4Cl5
642.54,232,9.04,Br4Cl5
643.53,2566,100,Br4Cl5
644.54,320,12.47,Br4Cl5
645.53,1969,76.73,Br4Cl5
646.53,268,10.44,Br4Cl5
647.53,1086,42.32,Br4Cl5
648.53,111,4.33,Br4Cl5
649.53,376,14.65,Br4Cl5
650.53,59,2.3,Br4Cl5
651.52,80,3.12,Br4Cl5
652.53,5,0.19,Br4Cl5
653.52,11,0.43,Br4Cl5
654.52,1,0.04,Br4Cl5
579.61,199,7.15,Br5Cl1
580.61,30,1.08,Br5Cl1
581.61,1191,42.78,Br5Cl1
582.61,144,5.17,Br5Cl1
583.6,2453,88.11,Br5Cl1
584.61,313,11.24,Br5Cl1
585.6,2784,100,Br5Cl1
586.6,359,12.9,Br5Cl1
587.6,1679,60.31,Br5Cl1
588.6,206,7.4,Br5Cl1
589.6,514,18.46,Br5Cl1
590.6,59,2.12,Br5Cl1
591.6,65,2.33,Br5Cl1
592.6,4,0.14,Br5Cl1
613.57,209,8.03,Br5Cl2
614.57,26,1,Br5Cl2
615.57,906,34.79,Br5Cl2
616.57,121,4.65,Br5Cl2
617.56,2158,82.87,Br5Cl2
618.57,283,10.87,Br5Cl2
619.56,2604,100,Br5Cl2
620.57,330,12.67,Br5Cl2
621.56,2032,78.03,Br5Cl2
622.56,229,8.79,Br5Cl2
623.56,783,30.07,Br5Cl2
624.56,99,3.8,Br5Cl2
625.56,173,6.64,Br5Cl2
626.56,28,1.08,Br5Cl2
627.55,17,0.65,Br5Cl2
628.56,1,0.04,Br5Cl2
629.56,1,0.04,Br5Cl2
647.53,121,4.72,Br5Cl3
648.53,18,0.7,Br5Cl3
649.53,726,28.35,Br5Cl3
650.53,87,3.4,Br5Cl3
651.53,1886,73.64,Br5Cl3
652.53,271,10.58,Br5Cl3
653.52,2561,100,Br5Cl3
654.53,334,13.04,Br5Cl3
655.52,2060,80.44,Br5Cl3
656.52,279,10.89,Br5Cl3
657.52,1103,43.07,Br5Cl3
658.52,136,5.31,Br5Cl3
659.52,299,11.68,Br5Cl3
660.52,40,1.56,Br5Cl3
661.51,64,2.5,Br5Cl3
662.52,11,0.43,Br5Cl3
663.51,4,0.16,Br5Cl3
681.49,98,4.15,Br5Cl4
682.49,14,0.59,Br5Cl4
683.49,557,23.58,Br5Cl4
684.49,76,3.22,Br5Cl4
685.49,1613,68.29,Br5Cl4
686.49,219,9.27,Br5Cl4
687.48,2362,100,Br5Cl4
688.49,317,13.42,Br5Cl4
689.48,2239,94.79,Br5Cl4
690.48,291,12.32,Br5Cl4
691.48,1321,55.93,Br5Cl4
692.48,177,7.49,Br5Cl4
693.48,504,21.34,Br5Cl4
694.48,76,3.22,Br5Cl4
695.47,96,4.06,Br5Cl4
696.48,18,0.76,Br5Cl4
697.47,19,0.8,Br5Cl4
698.47,3,0.13,Br5Cl4
715.45,66,2.95,Br5Cl5
716.45,10,0.45,Br5Cl5
717.45,452,20.2,Br5Cl5
718.45,60,2.68,Br5Cl5
719.45,1395,62.33,Br5Cl5
720.45,160,7.15,Br5Cl5
721.44,2179,97.36,Br5Cl5
722.45,287,12.82,Br5Cl5
723.44,2238,100,Br5Cl5
724.45,313,13.99,Br5Cl5
725.44,1534,68.54,Br5Cl5
726.44,202,9.03,Br5Cl5
727.44,709,31.68,Br5Cl5
728.44,78,3.49,Br5Cl5
729.44,231,10.32,Br5Cl5
730.44,33,1.47,Br5Cl5
731.43,46,2.06,Br5Cl5
732.43,2,0.09,Br5Cl5
733.43,3,0.13,Br5Cl5
734.43,2,0.09,Br5Cl5
