"theoretical_mz","theoretical_percent_intensity","distribution_name"
NA,0,"Br2Cl4"
NA,0,"Br2Cl4"
447.76,25.09,"Br2Cl4"
448.76,3.52,"Br2Cl4"
449.76,81.05,"Br2Cl4"
450.76,10.67,"Br2Cl4"
451.75,100,"Br2Cl4"
452.76,12.95,"Br2Cl4"
453.75,64.24,"Br2Cl4"
454.75,8.32,"Br2Cl4"
455.75,22.81,"Br2Cl4"
456.75,2.52,"Br2Cl4"
457.75,3.62,"Br2Cl4"
458.75,0.4,"Br2Cl4"
459.74,0.23,"Br2Cl4"
461.75,0.03,"Br2Cl4"
NA,0,"Br2Cl4"
NA,0,"Br2Cl4"
NA,0,"Br2Cl4"
NA,0,"Br2Cl4"
NA,0,"Br2Cl5"
NA,0,"Br2Cl5"
NA,0,"Br2Cl5"
NA,0,"Br2Cl5"
NA,0,"Br2Cl5"
NA,0,"Br2Cl5"
481.72,19.96,"Br2Cl5"
482.72,2.47,"Br2Cl5"
483.72,68.05,"Br2Cl5"
484.72,9.28,"Br2Cl5"
485.72,100,"Br2Cl5"
486.72,12.69,"Br2Cl5"
487.71,75.07,"Br2Cl5"
488.72,10.88,"Br2Cl5"
489.71,33.55,"Br2Cl5"
490.71,4.55,"Br2Cl5"
491.71,8.62,"Br2Cl5"
492.71,0.9,"Br2Cl5"
493.7,1.43,"Br2Cl5"
494.71,0.1,"Br2Cl5"
495.7,0.14,"Br2Cl5"
NA,0,"Br2Cl5"
NA,0,"Br2Cl5"
NA,0,"Br2Cl5"
NA,0,"Br3Cl1"
NA,0,"Br3Cl1"
NA,0,"Br3Cl1"
NA,0,"Br3Cl1"
NA,0,"Br3Cl1"
NA,0,"Br3Cl1"
423.79,25.5,"Br3Cl1"
424.79,3.22,"Br3Cl1"
425.78,84.74,"Br3Cl1"
426.79,11.17,"Br3Cl1"
427.78,100,"Br3Cl1"
428.79,12.75,"Br3Cl1"
429.78,46.61,"Br3Cl1"
430.78,6.27,"Br3Cl1"
431.78,7.58,"Br3Cl1"
432.78,0.72,"Br3Cl1"
433.78,0.03,"Br3Cl1"
NA,0,"Br3Cl1"
NA,0,"Br3Cl1"
NA,0,"Br3Cl1"
NA,0,"Br3Cl1"
NA,0,"Br3Cl1"
NA,0,"Br3Cl1"
NA,0,"Br3Cl1"
NA,0,"Br3Cl2"
NA,0,"Br3Cl2"
NA,0,"Br3Cl2"
NA,0,"Br3Cl2"
NA,0,"Br3Cl2"
NA,0,"Br3Cl2"
457.75,20.61,"Br3Cl2"
458.75,2.92,"Br3Cl2"
459.75,74.55,"Br3Cl2"
460.75,8.85,"Br3Cl2"
461.74,100,"Br3Cl2"
462.75,13.37,"Br3Cl2"
463.74,62,"Br3Cl2"
464.74,8.22,"Br3Cl2"
465.74,18.92,"Br3Cl2"
466.74,2.35,"Br3Cl2"
467.74,1.76,"Br3Cl2"
468.74,0.19,"Br3Cl2"
469.74,0.03,"Br3Cl2"
NA,0,"Br3Cl2"
NA,0,"Br3Cl2"
NA,0,"Br3Cl2"
NA,0,"Br3Cl2"
NA,0,"Br3Cl2"
NA,0,"Br3Cl3"
NA,0,"Br3Cl3"
NA,0,"Br3Cl3"
NA,0,"Br3Cl3"
NA,0,"Br3Cl3"
NA,0,"Br3Cl3"
491.71,17.07,"Br3Cl3"
492.71,2.38,"Br3Cl3"
493.71,62.66,"Br3Cl3"
494.71,7.03,"Br3Cl3"
495.7,100,"Br3Cl3"
496.71,13.07,"Br3Cl3"
497.7,77.42,"Br3Cl3"
498.7,9.14,"Br3Cl3"
499.7,28.92,"Br3Cl3"
500.7,4.79,"Br3Cl3"
501.7,6.5,"Br3Cl3"
502.7,0.69,"Br3Cl3"
503.69,0.43,"Br3Cl3"
504.7,0.03,"Br3Cl3"
NA,0,"Br3Cl3"
NA,0,"Br3Cl3"
NA,0,"Br3Cl3"
NA,0,"Br3Cl3"
NA,0,"Br3Cl4"
NA,0,"Br3Cl4"
NA,0,"Br3Cl4"
NA,0,"Br3Cl4"
NA,0,"Br3Cl4"
NA,0,"Br3Cl4"
525.67,15.18,"Br3Cl4"
526.67,2.22,"Br3Cl4"
527.67,55.24,"Br3Cl4"
528.67,7.26,"Br3Cl4"
529.66,100,"Br3Cl4"
530.67,13.11,"Br3Cl4"
531.66,91.63,"Br3Cl4"
532.67,11.66,"Br3Cl4"
533.66,48.72,"Br3Cl4"
534.66,5.96,"Br3Cl4"
535.66,14.22,"Br3Cl4"
536.66,2.3,"Br3Cl4"
537.65,2.18,"Br3Cl4"
538.66,0.3,"Br3Cl4"
539.65,0.26,"Br3Cl4"
NA,0,"Br3Cl4"
NA,0,"Br3Cl4"
NA,0,"Br3Cl4"
NA,0,"Br3Cl5"
NA,0,"Br3Cl5"
NA,0,"Br3Cl5"
NA,0,"Br3Cl5"
559.63,12.31,"Br3Cl5"
560.63,1.55,"Br3Cl5"
561.63,51.33,"Br3Cl5"
562.63,7.65,"Br3Cl5"
563.63,96.93,"Br3Cl5"
564.63,12.39,"Br3Cl5"
565.62,100,"Br3Cl5"
566.63,12.58,"Br3Cl5"
567.62,60.41,"Br3Cl5"
568.62,8.24,"Br3Cl5"
569.62,24.33,"Br3Cl5"
570.62,3.5,"Br3Cl5"
571.62,5.26,"Br3Cl5"
572.62,0.92,"Br3Cl5"
573.61,0.76,"Br3Cl5"
574.63,0.04,"Br3Cl5"
575.61,0.04,"Br3Cl5"
NA,0,"Br3Cl5"
NA,0,"Br3Cl5"
NA,0,"Br3Cl5"
NA,0,"Br4Cl1"
NA,0,"Br4Cl1"
NA,0,"Br4Cl1"
NA,0,"Br4Cl1"
NA,0,"Br4Cl1"
NA,0,"Br4Cl1"
501.7,15.67,"Br4Cl1"
502.7,2.12,"Br4Cl1"
503.69,60.92,"Br4Cl1"
504.7,8.03,"Br4Cl1"
505.69,100,"Br4Cl1"
506.7,13.58,"Br4Cl1"
507.69,80.05,"Br4Cl1"
508.69,10.89,"Br4Cl1"
509.69,32.24,"Br4Cl1"
510.69,4.28,"Br4Cl1"
511.69,3.45,"Br4Cl1"
512.69,0.73,"Br4Cl1"
513.69,0.03,"Br4Cl1"
NA,0,"Br4Cl1"
NA,0,"Br4Cl1"
NA,0,"Br4Cl1"
NA,0,"Br4Cl1"
